The product status will be 'Disabled' until it is approved from admin.,Status produktu zostanie „Disabled” dopóki nie zostanie zatwierdzony od administratora.
The seller has already added more products. Please either increase the limit or save it as it is.,Sprzedawca już dodane kolejne produkty. Należy albo zwiększyć limit lub zapisać go jak to jest.
Reason,Powód
Required field,Pole wymagane
Submit,Zatwierdź
Why do you want to do this?,Dlaczego chcesz to zrobić?
Continue,dalej
Something went wrong. Please try again.,Coś poszło nie tak. Proszę spróbuj ponownie.
Vacation Interval: ,Interwał na wakacje:
Is Active: ,Jest aktywny:
Vacation Halt Status: ,Wakacje Halt Status:
Comment: ,Komentarz:
Reason for canceling vacation: ,Powodem odwołania wakacje:
Vacation Detail,Szczegóły wakacje
Your comment to cancel this vacation,Twój komentarz anulować to wakacje
Register as Seller,Zarejestrować się jako Sprzedającym
Yes,tak
No,Nie
Marketplace CRON Instructions,Instrukcje Giełda Cron
Vacation CRON,CRON wakacje
Disable the products during the seller's vacation period.,Wyłącz produktów w okresie wakacyjnym sprzedającego.
Low Stock Notification CRON,Powiadomienie o niskiej Zdjęcie CRON
Send the notification to the sellers about their low stock products.,Wyślij zgłoszenie do sprzedawców o ich niskie produktów giełdowych.
Cron Instructions,Instrukcje cron
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Dodaj Cron Jobs do sklepu z panelu sterowania / kit. Poniżej znajdują Instrukcji dodać Cron Jobs.
URLs to Add to Cron via Control Panel,URL do Dodaj do Cron za pośrednictwem Panelu sterowania
1. Vacation CRON,1. Urlop CRON
2. Low Stock Notification CRON,2. Niskie CRON Zawiadomienie Zdjęcie
Cron setup via SSH,Konfiguracja Cron poprzez SSH
Choose Store Categories,Wybierz Sklep kategorie
Collapse All,Zwinąć wszystkie
Expand All,Rozwiń wszystkie
This operation can take a long time,Operacja ta może trwać długo
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Proszę potwierdzić przełączanie strony. Wszystkie dane, które Hasn '\ t zapisane zostaną utracone."
Warning message,Wiadomość ostrzegawcza
Field cannot be empty.,Pole nie może być puste.
You can enter only numbers.,Można wprowadzić tylko cyfry.
Number should be greater than 0.,Liczba powinna być większa niż 0.
Field cannot be greater than {#} characters.,Pole nie może być większa niż {#} znaków.
Field cannot be less than {#} character(s).,Pole nie może być mniejsza niż {#} znaku (ów).
Please enter Email.,Proszę podać e-mail.
Please enter a valid Email.,Proszę podać poprawny adres e-mail.
Invalid date format.,Zły format daty.
Number is not in the valid range. It should be between {#} and {##},Liczba nie jest w poprawnym zakresie. Powinna ona wynosić od {#} i {##}
Field should be numeric.,Pole powinno być numeryczne.
Field should be positive.,Pole powinno być dodatnie.
