The product status will be 'Disabled' until it is approved from admin.,Η κατάσταση του προϊόντος θα πρέπει να «Άτομα με ειδικές ανάγκες» μέχρι να εγκριθεί από το διαχειριστή.
The seller has already added more products. Please either increase the limit or save it as it is.,"Ο πωλητής έχει ήδη προσθέσει περισσότερα προϊόντα. Παρακαλούμε, είτε να αυξήσει το όριο ή να το αποθηκεύσετε ως έχει."
Reason,Λόγος
Required field,υποχρεωτικό πεδίο
Submit,υποβάλλουν
Why do you want to do this?,Γιατί θέλετε να το κάνετε αυτό;
Continue,Να συνεχίσει
Something went wrong. Please try again.,Κάτι πήγε στραβά. ΠΑΡΑΚΑΛΩ προσπαθησε ξανα.
Vacation Interval: ,Διάστημα Διακοπές:
Is Active: ,Είναι ενεργό:
Vacation Halt Status: ,Διακοπές Κατάσταση Αλτ:
Comment: ,Σχόλιο:
Reason for canceling vacation: ,Αιτία για την ακύρωση διακοπές:
Vacation Detail,Λεπτομέρειες για διακοπές
Your comment to cancel this vacation,Το σχόλιό σας να ακυρώσετε αυτήν διακοπές
Register as Seller,Εγγραφείτε ως Πωλητής
Yes,Ναί
No,Οχι
Marketplace CRON Instructions,Οδηγίες Marketplace CRON
Vacation CRON,CRON για διακοπές
Disable the products during the seller's vacation period.,Απενεργοποιήστε τα προϊόντα κατά τη διάρκεια των διακοπών του πωλητή.
Low Stock Notification CRON,CRON σε περιορισμένο απόθεμα Κοινοποίηση
Send the notification to the sellers about their low stock products.,Στείλτε την κοινοποίηση στους πωλητές για προϊόντα χαμηλής αποθεμάτων τους.
Cron Instructions,Οδηγίες cron
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Προσθέστε το Cron Jobs στο κατάστημά σας μέσω του πίνακα ελέγχου / στόκος. Βρείτε κάτω από τις οδηγίες για να προσθέσετε το Cron Jobs.
URLs to Add to Cron via Control Panel,Διευθύνσεων URL για να προσθέσετε στο Cron μέσω του Πίνακα Ελέγχου
1. Vacation CRON,1. διακοπές CRON
2. Low Stock Notification CRON,2. CRON σε περιορισμένο απόθεμα Κοινοποίηση
Cron setup via SSH,Ρύθμιση Cron μέσω SSH
Choose Store Categories,Επιλέξτε Κατηγορίες καταστημάτων
Collapse All,Σύμπτυξη όλων
Expand All,Ανάπτυξη όλων
