The product status will be 'Disabled' until it is approved from admin.,"Stav produktu bude ‚zakázáno‘, dokud nebude schválen od admin."
The seller has already added more products. Please either increase the limit or save it as it is.,"Prodávající již přidal další produkty. Prosím, buď zvýšit limit nebo uložit tak jak to je."
Reason,Důvod
Required field,Povinné pole
Submit,Předložit
Why do you want to do this?,Proč to chcete udělat?
Continue,Pokračovat
Something went wrong. Please try again.,Něco se pokazilo. Prosím zkuste to znovu.
Vacation Interval: ,Prázdniny Interval:
Is Active: ,Je aktivní:
Vacation Halt Status: ,Rekreační Halt Stav:
Comment: ,Komentář:
Reason for canceling vacation: ,Důvodem pro zrušení dovolenou:
Vacation Detail,dovolená Detail
Your comment to cancel this vacation,Váš komentář pro zrušení této dovolenou
Register as Seller,Zaregistrovat se jako prodávající
Yes,Ano
No,Ne
Marketplace CRON Instructions,Marketplace cron Instrukce
Vacation CRON,dovolená CRON
Disable the products during the seller's vacation period.,Zakázat produkty během období prázdnin prodávajícího.
Low Stock Notification CRON,Low Sklad Notification CRON
Send the notification to the sellers about their low stock products.,Zaslat oznámení prodejci o jejich nízké akciových produktů.
Cron Instructions,cron Instrukce
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Přidejte cron do vašeho obchodu prostřednictvím ovládacího panelu / tmelem. Níže najdete Pokynu přidat cron.
URLs to Add to Cron via Control Panel,URL přidat do Cron prostřednictvím ovládacího panelu
1. Vacation CRON,1. Dovolená CRON
2. Low Stock Notification CRON,2. Low Sklad Notification CRON
Cron setup via SSH,Nastavení cron přes SSH
Choose Store Categories,Zvolit Store Kategorie
Collapse All,Sbalit vše
Expand All,Rozšířit vše
This operation can take a long time,Tato operace může trvat dlouhou dobu
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Prosím potvrďte přepínání stránek. Všechna data, která Hasn \ 't byly uloženy, budou ztraceny."
Warning message,Varovná zpráva
Field cannot be empty.,Pole nemůže být prázdné.
You can enter only numbers.,Můžete zadat pouze čísla.
Number should be greater than 0.,Číslo by mělo být větší než 0.
Field cannot be greater than {#} characters.,Pole nemůže být větší než {#} znaků.
Field cannot be less than {#} character(s).,Pole nemůže být menší než {#} znak (y).
Please enter Email.,Zadejte prosím e-mail.
Please enter a valid Email.,Prosím zadejte platný email.
Invalid date format.,Neplatný formát data.
