The product status will be 'Disabled' until it is approved from admin.,"Statutul de produs va fi „handicap“, până când acesta este aprobat de admin."
The seller has already added more products. Please either increase the limit or save it as it is.,Vânzătorul a adăugat deja mai multe produse. Vă rugăm să fie măriți limita sau salvați-l așa cum este.
Reason,Motiv
Required field,câmp necesar
Submit,A depune
Why do you want to do this?,De ce vrei să faci asta?
Continue,Continua
Something went wrong. Please try again.,Ceva n-a mers bine. Vă rugăm să încercați din nou.
Vacation Interval: ,Interval de vacanță:
Is Active: ,Este activ:
Vacation Halt Status: ,Stare vacanță Halt:
Comment: ,Cometariu:
Reason for canceling vacation: ,Motivul pentru anulare concediu:
Vacation Detail,Detaliu vacanță
Your comment to cancel this vacation,Comentariul tău pentru a anula această vacanță
Register as Seller,Inregistreaza-te ca vânzător
Yes,da
No,Nu
Marketplace CRON Instructions,Instrucțiuni Piață Cron
Vacation CRON,CRON vacanță
Disable the products during the seller's vacation period.,Dezactivați produsele în timpul perioadei de vacanță vânzătorului.
Low Stock Notification CRON,Low Stock Notificare CRON
Send the notification to the sellers about their low stock products.,Trimiteți notificarea către vânzătorii despre produsele lor de stoc mici.
Cron Instructions,Instrucțiuni Cron
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Adăugați locuri de muncă Cron la magazinul dvs. prin intermediul panoului de control / chit. Găsiți mai jos instrucțiuni pentru a adăuga locuri de muncă Cron.
URLs to Add to Cron via Control Panel,URL-uri pentru a adăuga la Cron prin Control Panel
1. Vacation CRON,1. vacanță CRON
2. Low Stock Notification CRON,2. Low CRON Notificare stoc
Cron setup via SSH,Configurarea Cron prin SSH
Choose Store Categories,Alege Store Categorii
Collapse All,Restrângere totală
Expand All,Extinde toate
This operation can take a long time,Această operațiune poate dura o lungă perioadă de timp
Please confirm site switching. All data that hasn\'t been saved will be lost.,Vă rugăm să confirmați site-ul de comutare. Toate datele pe care hasn '\ t fost salvate vor fi pierdute.
Warning message,Mesaj de avertizare
Field cannot be empty.,Câmpul nu poate fi gol.
You can enter only numbers.,Puteți introduce doar numere.
Number should be greater than 0.,Numărul trebuie să fie mai mare decât 0.
Field cannot be greater than {#} characters.,Câmpul nu poate fi mai mare decât caractere {#}.
Field cannot be less than {#} character(s).,Câmpul nu poate fi mai mică de {#} caracter (e).
Please enter Email.,Vă rugăm să introduceți adresa de email.
Please enter a valid Email.,Te rog introdu un email valid.
Invalid date format.,Format de dată nevalid.
Number is not in the valid range. It should be between {#} and {##},Numărul nu este în intervalul valid. Ar trebui să fie între {#} și {##}
Field should be numeric.,Câmp trebuie să fie numeric.
Field should be positive.,Câmpul ar trebui să fie pozitiv.
Field can have only upto two decimal values.,Domeniul poate avea doar până la două valori zecimale.
Email cannot be greater than {#} characters.,E-mail nu poate fi mai mare de caractere {#}.
Zip should not have special characters.,Zip nu ar trebui să aibă caractere speciale.
Percentage should be in number.,Procentul trebuie să fie în număr.
Percentage should be between 0 and 100.,Procentajul trebuie să fie între 0 și 100.
Size cannot be greater than {#} characters.,Dimensiunea nu poate fi mai mare de caractere {#}.
Color could not be greater than {#} characters.,Culoarea nu poate fi mai mare de caractere {#}.
Color is not valid.,Culoarea nu este validă.
Special characters are not allowed.,Caracterele speciale nu sunt permise.
Script tags are not allowed.,tag-uri Script nu sunt permise.
Style tags are not allowed.,tag-uri Style nu sunt permise.
Iframe tags are not allowed.,Etichetele iframe nu sunt permise.
Uploaded file is not an image.,Fișierul încărcat nu este o imagine.
Uploaded file size must be less than {#}.,dimensiunea fișierului încărcat trebuie să fie mai mică de {#}.
Field should not contain HTML tags.,Câmpul nu trebuie să conțină tag-uri HTML.
You can enter only positive numbers.,Puteți introduce doar numere pozitive.
Are you sure?,Esti sigur?
Comment,cometariu
Are you sure to update feature status of this seller?,Sunteți sigur de a actualiza starea caracteristică a acestui vânzător?
Do you have any comment?,Ai vreun comentariu?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Pentru raportarea corectă, asigurați-vă că pentru a actualiza statisticile pe durata de viață de fiecare dată când schimbați fusul orar."
To refresh last day's,Pentru a actualiza ultima zi
statistics,statistici
click,clic
here,aici
Filter,Filtru
Period,Perioadă
Day,Zi
Month,Lună
Year,An
From,Din
Select Date,Selectați data
To,La
Choose Category,Alege categorie
All Categories,toate categoriile
Choose a Seller,Alege un vânzător
All Sellers,toate Sellers
NA,N / A
PayPal Payout Settings,Setările plății PayPal
Active,Activ
Enable or Disable Paypal Payment Method.,Activarea sau dezactivarea metodă de plată PayPal.
Client ID,ID de client
Client Secret,Client Secret
Paypal Mode,Modul Paypal
Sandbox,Sandbox
Live,Trăi
Paypal Email Subject,Paypal Subiect e-mail
Paypal Currency ,Paypal Moneda
Select the default currency set in Paypal Account.,Selectați setul implicit moneda în cont Paypal.
Are You Sure you want to reset the settings?,Sunteți sigur că doriți să resetați setările?
Edit Email Template,Editare șablon de e-mail
About Template,Despre Template
Template Subject,Model de subiect
Email Content,Conținutul e-mail
Template Content,Conținutul şablon
Please do not edit or remove any template variable.,Vă rugăm să nu modificați sau să eliminați orice variabilă șablon.
Example,Exemplu
Seller Account Settings,Setări cont de vânzător
Default Commission,Comisia Implicit
Please enter a number between 0 and 100 only and in a proper format.,Vă rugăm să introduceți un număr între 0 și numai 100 și într-un format adecvat.
Use Global,Utilizarea globală
New Product Limit,Limita de produse noi
Limit the sellers to add new products without account approval.,Limitați vânzătorii pentru a adăuga noi produse fără aprobarea contului.
If left blank than product limit will be assumed 0.,Dacă este lăsat necompletat decât limita de produs va presupune 0.
Categories Allowed,Categorii permise
If no category is selected that will mean that all the categories are allowed.,"Dacă nu este selectată nicio categorie, care va însemna că toate categoriile sunt permise."
Product Approval Required,Produs necesară aprobarea
Enable,Permite
Disable,Dezactivați
Enable Seller Review,Activați recenzia vânzătorului
Required Seller Review Approval,Necesar Vânzător analiză de aprobare a
Email to Seller on Order Place,E-mail Vânzătorului pe comandă Locul
Please enter a valid number in this field.,Vă rugăm să introduceți un număr valid în acest domeniu.
Payout Transaction Request,Cerere de plată tranzacție
Required Field,Câmp necesar
Invalid Value,Valoare invalida
"Invalid Value, please enter a number greater than zero","Valoare nevalidă, vă rugăm să introduceți un număr mai mare decât zero"
Minimum 30 character required,Minim 30 de caractere necesar
General Settings,setari generale
Enable Marketplace,activaţi Marketplace
Toggle to enable or disable extension,Comutați pentru a activa sau prelungire dezactivare
Default Commission (%),Implicit Comisia (%)
Set default commission in percentage for each product.,Set comision implicit în procente pentru fiecare produs.
Choose the categories allowed for the sellers. If no category is selected that will mean that all the categories are allowed.,"Alege categoriile permise pentru vânzătorii. Dacă nu este selectată nicio categorie, care va însemna că toate categoriile sunt permise."
Register as Seller Field,Inregistreaza-te ca vânzător de câmp
