The product status will be 'Disabled' until it is approved from admin.,"Състоянието на продукт ще бъде на ""Забранено"", докато не бъде одобрен от администратор."
The seller has already added more products. Please either increase the limit or save it as it is.,"Продавачът вече е добавил повече продукти. Моля, или за увеличаване на лимита или да го запазите, както е."
Reason,причина
Required field,задължително поле
Submit,Изпращане
Why do you want to do this?,Защо искате да направите това?
Continue,продължи
Something went wrong. Please try again.,"Нещо се обърка. Моля, опитайте отново."
Vacation Interval: ,Почивка интервал:
Is Active: ,Е активна:
Vacation Halt Status: ,Почивка Спиране положение:
Comment: ,Коментар:
Reason for canceling vacation: ,Причина за анулирането на почивка:
Vacation Detail,Почивка Подробности
Your comment to cancel this vacation,Вашият коментар Отказване на тази ваканция
Register as Seller,Регистрирайте се като Продавач
Yes,да
No,Не
Marketplace CRON Instructions,Marketplace Cron Инструкции
Vacation CRON,Почивка CRON
Disable the products during the seller's vacation period.,Изключване на продуктите по време на ваканция период на продавача.
Low Stock Notification CRON,Малки количества на склад CRON Уведомление
Send the notification to the sellers about their low stock products.,Изпрати на уведомлението с продавачите за техните ниски склад продукти.
Cron Instructions,Cron Инструкции
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Добавете Cron работни места в магазина през контролния панел / замазка. Вижте по-долу Инструкцията за да добавите Cron работни места.
URLs to Add to Cron via Control Panel,"URL адреси, за да добави към Cron чрез Control Panel"
1. Vacation CRON,1. Ваканционен CRON
2. Low Stock Notification CRON,2. Ниска наличност Уведомление CRON
Cron setup via SSH,Cron настройка чрез SSH
Choose Store Categories,Изберете Store Категории
Collapse All,Свиване на всички
Expand All,Отваряне на всички
This operation can take a long time,Тази операция може да отнеме много време
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Моля, потвърдете, превключване сайт. Всички данни, които hasn т \ 'са запазени, ще бъдат загубени."
Warning message,Предупреждение съобщение
Field cannot be empty.,Полето не може да бъде празно.
You can enter only numbers.,Можете да въведете само цифри.
Number should be greater than 0.,Числото трябва да е по-голямо от 0.
Field cannot be greater than {#} characters.,Поле не може да бъде по-голяма от {#} знака.
Field cannot be less than {#} character(s).,Поле не може да бъде по-малко от {#} характер (и).
