The product status will be 'Disabled' until it is approved from admin.,"Der Status Produkt wird ‚Deaktiviert‘, bis er von Admin genehmigt."
The seller has already added more products. Please either increase the limit or save it as it is.,Der Verkäufer hat bereits mehr Produkte hinzugefügt. Bitte erhöhen entweder die Grenze oder speichern Sie es wie es ist.
Reason,Grund
Required field,Pflichtfeld
Submit,einreichen
Why do you want to do this?,Warum wollen Sie das tun?
Continue,Fortsetzen
Something went wrong. Please try again.,Etwas ist schief gelaufen. Bitte versuche es erneut.
Vacation Interval: ,Urlaub Interval:
Is Active: ,Ist aktiv:
Vacation Halt Status: ,Urlaub Halt Status:
Comment: ,Kommentar:
Reason for canceling vacation: ,Grund für die Annullierung Urlaub:
Vacation Detail,Urlaub Details
Your comment to cancel this vacation,Ihr Kommentar diesen Urlaub zu stornieren
Register as Seller,Registrieren Sie sich als Verkäufer
Yes,Ja
No,Nein
Marketplace CRON Instructions,Markt CRON Anleitung
Vacation CRON,Urlaub CRON
Disable the products during the seller's vacation period.,Deaktivieren Sie die Produkte während der Urlaubszeit des Verkäufers.
Low Stock Notification CRON,Wenige Exemplare auf Lager Mitteilung CRON
Send the notification to the sellers about their low stock products.,Senden Sie die Mitteilung an die Verkäufer über ihre niedrigen vorrätige Produkte.
Cron Instructions,cron Anleitung
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,"Fügen Sie die Cron Jobs zu Ihrem Geschäft über das Bedienfeld / Kitt. Unten finden Sie die Anweisung, den Cron Jobs hinzuzufügen."
URLs to Add to Cron via Control Panel,URLs Cron über Systemsteuerung hinzufügen
1. Vacation CRON,1. Ferien CRON
2. Low Stock Notification CRON,2. Niedrige Auf Mitteilung CRON
Cron setup via SSH,Cron-Setup via SSH
Choose Store Categories,Wählen Sie Shopkategorien
Collapse All,Alles schließen
Expand All,Alle erweitern
This operation can take a long time,Dieser Vorgang kann sehr lange dauern
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Bitte bestätigen Website-Umschaltung. Alle Daten, die hasn \ 't gespeichert werden verloren gehen."
Warning message,Warnmeldung
Field cannot be empty.,Feld kann nicht leer sein.
You can enter only numbers.,Sie können nur Nummern eingeben.
Number should be greater than 0.,Zahl sollte größer als 0 sein.
Field cannot be greater than {#} characters.,Feld kann nicht größer sein als {#} Zeichen.
Field cannot be less than {#} character(s).,Feld kann nicht weniger als {#} Zeichen (s).
Please enter Email.,Bitte geben Sie E-Mail.
