The product status will be 'Disabled' until it is approved from admin.,"A termék állapota lesz „fogyatékos”, amíg jóváhagyják az admin."
The seller has already added more products. Please either increase the limit or save it as it is.,"Az eladó már hozzá több termék. Kérjük, növelheti a korlátot, vagy mentse el, ahogy van."
Reason,Ok
Required field,kötelező mező
Submit,beküldése
Why do you want to do this?,Miért akarod ezt?
Continue,Folytatni
Something went wrong. Please try again.,Valami elromlott. Kérlek próbáld újra.
Vacation Interval: ,Vacation Interval:
Is Active: ,Aktív:
Vacation Halt Status: ,Vacation Halt állapota:
Comment: ,Megjegyzés:
Reason for canceling vacation: ,A törlés oka pihenés:
Vacation Detail,Utazás Részletes
Your comment to cancel this vacation,"Az Ön megjegyzése, hogy megszünteti ezt a nyaralást"
Register as Seller,Regisztrálj eladó
Yes,Igen
No,Nem
Marketplace CRON Instructions,Marketplace CRON utasítások
Vacation CRON,Utazás CRON
Disable the products during the seller's vacation period.,Kikapcsolja során a termékek az eladó nyaralás ideje.
Low Stock Notification CRON,Alacsony Stock Notification CRON
Send the notification to the sellers about their low stock products.,"Megküldi az értesítést, az eladók arról, hogy az alacsony készletek termékeket."
Cron Instructions,cron utasítások
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,"Adjuk hozzá a Cron Jobs a boltban kezelôpanelrôl / gitt. Alább az utasítást, hogy adjunk a Cron Jobs."
URLs to Add to Cron via Control Panel,URL-ek hozzáadása a Cron kezelôpanelrôl
1. Vacation CRON,1. Utazás CRON
2. Low Stock Notification CRON,2. Alacsony Stock Notification CRON
Cron setup via SSH,Cron beállítás SSH-n keresztül
Choose Store Categories,Válassza Store kategóriák
Collapse All,Mindet összecsuk
Expand All,Az összes kibontása
This operation can take a long time,Ez a művelet sokáig tarthat
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Kérjük, erősítse hely váltás. Minden adat, hasn \ 't mentettük el fog veszni."
Warning message,Figyelmeztető üzenet
Field cannot be empty.,Mező nem lehet üres.
You can enter only numbers.,Akkor meg csak számokat.
Number should be greater than 0.,"Száma nagyobb kell legyen, mint 0."
Field cannot be greater than {#} characters.,"A mező nem lehet nagyobb, mint {#} karakter."
Field cannot be less than {#} character(s).,"Mező nem lehet kevesebb, mint {#} karakter (ek)."
Please enter Email.,"Kérjük, adja meg e-mailben."
Please enter a valid Email.,Kérlek létező email címet adj meg.
Invalid date format.,Érvénytelen dátum formátumát.
Number is not in the valid range. It should be between {#} and {##},Szám nem az érvényes tartományon. Között kell lennie {#} és {##}
Field should be numeric.,Field legyen numerikus.
Field should be positive.,Field pozitívnak kell lennie.
Field can have only upto two decimal values.,A mező csak legfeljebb két tizedes értékeket.
Email cannot be greater than {#} characters.,"E-mail nem lehet nagyobb, mint {#} karakter."
Zip should not have special characters.,Zip nem kell speciális karaktereket.
Percentage should be in number.,Százalékos kell lennie számát.
Percentage should be between 0 and 100.,Százalékot kell 0 és 100 között.
Size cannot be greater than {#} characters.,"Mérete nem lehet nagyobb, mint {#} karakter."
Color could not be greater than {#} characters.,"Szín nem lehet nagyobb, mint {#} karakter."
Color is not valid.,Szín nem érvényes.
Special characters are not allowed.,Speciális karakterek használata nem lehetséges.
Script tags are not allowed.,Script-címkék nem engedélyezett.
Style tags are not allowed.,Stílus címkék használata nem megengedett.
Iframe tags are not allowed.,Iframe címkék használata nem megengedett.
Uploaded file is not an image.,A feltöltött fájl nem kép.
Uploaded file size must be less than {#}.,"A feltöltött fájl mérete kisebb kell legyen, mint a {#}."
Field should not contain HTML tags.,Mező nem tartalmazhat HTML-címkéket.
You can enter only positive numbers.,Akkor meg csak pozitív számok.
Are you sure?,biztos vagy ebben?
Comment,Megjegyzés
Are you sure to update feature status of this seller?,"Biztos benne, hogy frissítse a szolgáltatás állapotát ennek az eladónak?"
Do you have any comment?,Van megjegyzést?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","A pontos jelentések, ügyeljen arra, hogy frissítse élettartam statisztika, amikor megváltoztatja az időzónát."
To refresh last day's,Ha frissíteni utolsó nap
statistics,statisztika
click,kettyenés
here,itt
Filter,Szűrő
Period,Időszak
Day,Nap
Month,Hónap
Year,Év
From,Tól től
Select Date,Válassza ki a dátum
To,Nak nek
Choose Category,Kategória választása
All Categories,Minden kategória
Choose a Seller,Válasszon egy eladó
All Sellers,Minden Sellers
NA,NA
PayPal Payout Settings,PayPal Kifizetés beállítások
Active,Aktív
Enable or Disable Paypal Payment Method.,Engedélyezése vagy tiltása Paypal fizetési mód.
Client ID,Ügyfélazonosító
Client Secret,Client Secret
Paypal Mode,Paypal Mode
Sandbox,Sandbox
Live,Élő
Paypal Email Subject,Paypal E-mail Tárgy
Paypal Currency ,Paypal Valuta
Select the default currency set in Paypal Account.,Válassza ki az alapértelmezett megadott pénznemben Paypal számla.
Are You Sure you want to reset the settings?,Biztosan meg akarja állítani a beállításokat?
Edit Email Template,E-mail sablon szerkesztése
About Template,Mintegy Template
Template Subject,Sablon Tárgy
Email Content,E-mail tartalma
Template Content,Template Content
Please do not edit or remove any template variable.,"Kérjük, ne módosítsa vagy távolítsa el a sablont változó."
Example,Példa
Seller Account Settings,Az eladó fiók beállításai
Default Commission,Alapértelmezett Bizottság
Please enter a number between 0 and 100 only and in a proper format.,Adjon meg egy számot 0 és 100 között csak és egy megfelelő formátumban.
Use Global,Globális használata
New Product Limit,Új termék Limit
