The product status will be 'Disabled' until it is approved from admin.,"Stav produktu bude, zakázané ', kým nebude schválený od admin."
The seller has already added more products. Please either increase the limit or save it as it is.,"Predávajúci už pridal ďalšie produkty. Prosím, buď zvýšiť limit alebo uložiť tak ako to je."
Reason,Dôvod
Required field,Požadované pole
Submit,Predložiť
Why do you want to do this?,Prečo to chcete urobiť?
Continue,ďalej
Something went wrong. Please try again.,Niečo sa pokazilo. Prosím skúste znova.
Vacation Interval: ,Prázdniny Interval:
Is Active: ,Je aktívny:
Vacation Halt Status: ,Rekreačný Halt Stav:
Comment: ,komentár:
Reason for canceling vacation: ,Dôvodom pre zrušenie dovolenku:
Vacation Detail,dovolená Detail
Your comment to cancel this vacation,Váš komentár pre zrušenie tejto dovolenku
Register as Seller,Zaregistruj sa ako predávajúci
Yes,Áno
No,žiadny
Marketplace CRON Instructions,Marketplace cron Inštrukcie
Vacation CRON,dovolená CRON
Disable the products during the seller's vacation period.,Zakázať produkty počas obdobia prázdnin predávajúceho.
Low Stock Notification CRON,Low Sklad Notification CRON
Send the notification to the sellers about their low stock products.,Zaslať oznámenia predajcovia o ich nízkej akciových produktov.
Cron Instructions,cron Inštrukcie
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Pridajte cron do vášho obchodu prostredníctvom ovládacieho panela / tmelom. Nižšie nájdete Pokynu pridať cron.
URLs to Add to Cron via Control Panel,URL pridať do Cron prostredníctvom ovládacieho panela
1. Vacation CRON,1. Dovolenka CRON
2. Low Stock Notification CRON,2. Low Sklad Notification CRON
Cron setup via SSH,Nastavenie cron cez SSH
Choose Store Categories,Zvoliť Store Kategórie
Collapse All,zbaliť všetko
Expand All,Zväčšiť všetko
This operation can take a long time,Táto operácia môže trvať dlhú dobu
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Prosím potvrďte prepínanie stránok. Všetky dáta, ktoré hasnú \ 't boli uložené, sa stratia."
Warning message,varovná správa
Field cannot be empty.,Pole nemôže byť prázdne.
You can enter only numbers.,Môžete zadať iba čísla.
Number should be greater than 0.,Číslo by malo byť väčšie ako 0.
Field cannot be greater than {#} characters.,Pole nemôže byť väčšia ako {#} znakov.
