The product status will be 'Disabled' until it is approved from admin.,De status product zal worden 'Uitgeschakeld' totdat het is goedgekeurd door admin.
The seller has already added more products. Please either increase the limit or save it as it is.,De verkoper heeft al meer producten toegevoegd. Gelieve ofwel verhoging van de limiet of opslaan als het is.
Reason,Reden
Required field,verplicht veld
Submit,voorleggen
Why do you want to do this?,Waarom wil je om dit te doen?
Continue,Doorgaan met
Something went wrong. Please try again.,Er is iets fout gegaan. Probeer het opnieuw.
Vacation Interval: ,Vakantie Interval:
Is Active: ,Is actief:
Vacation Halt Status: ,Vakantie Halt Status:
Comment: ,Commentaar:
Reason for canceling vacation: ,Reden voor het annuleren van vakantie:
Vacation Detail,Vacation Detail
Your comment to cancel this vacation,Uw mening over deze vakantie te annuleren
Register as Seller,Registreer als Verkoper
Yes,Ja
No,Nee
Marketplace CRON Instructions,Marketplace CRON Instructions
Vacation CRON,vakantie CRON
Disable the products during the seller's vacation period.,Schakel de producten tijdens de vakantie periode van de verkoper.
Low Stock Notification CRON,Laag Stock Notification CRON
Send the notification to the sellers about their low stock products.,Stuur de melding aan de verkopers over hun lage voorraad producten.
Cron Instructions,cron Instructions
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Voeg de Cron Jobs naar uw winkel via het bedieningspaneel / stopverf. Hieronder vindt u de instructie om de Cron Jobs toe te voegen.
URLs to Add to Cron via Control Panel,URL's toe te voegen aan Cron via het Configuratiescherm
1. Vacation CRON,1. Vacation CRON
2. Low Stock Notification CRON,2. Lage Stock Notification CRON
Cron setup via SSH,Cron setup via SSH
Choose Store Categories,Kies Winkelcategorieën
Collapse All,Alles inklappen
Expand All,Alles uitvouwen
This operation can take a long time,Deze bewerking kan lang duren
Please confirm site switching. All data that hasn\'t been saved will be lost.,Gelieve te bevestigen plaats switching. Alle gegevens die hasn \ 't bewaard is zal verloren gaan.
Warning message,Waarschuwingsbericht
Field cannot be empty.,Het gebied mag niet leeg zijn.
You can enter only numbers.,U kunt alleen cijfers invoeren.
Number should be greater than 0.,Nummer moet groter zijn dan 0.
Field cannot be greater than {#} characters.,Het gebied mag niet groter zijn dan {#} letters.
Field cannot be less than {#} character(s).,Het gebied kan niet lager zijn dan {#} teken (s) zijn.
Please enter Email.,Vul e-mail.
Please enter a valid Email.,Gelieve een geldig e-mailadres in te vullen.
Invalid date format.,Ongeldige datum.
Number is not in the valid range. It should be between {#} and {##},Nummer is niet in het geldige bereik. Het moet tussen de {#} en {##}
Field should be numeric.,Veld moet numeriek zijn.
Field should be positive.,Het gebied moet positief zijn.
Field can have only upto two decimal values.,Het gebied kan alleen upto twee decimale waarden hebben.
Email cannot be greater than {#} characters.,E-mail kan niet groter zijn dan {#} letters.
Zip should not have special characters.,Zip mag geen speciale tekens.
Percentage should be in number.,Percentage moet zijn in aantal.
Percentage should be between 0 and 100.,Percentage moet tussen 0 en 100.
Size cannot be greater than {#} characters.,Grootte kan niet groter zijn dan {#} letters.
Color could not be greater than {#} characters.,Color kon niet groter zijn dan {#} letters.
Color is not valid.,Kleur is niet geldig.
Special characters are not allowed.,Speciale karakters zijn niet toegestaan.
Script tags are not allowed.,Script tags zijn niet toegestaan.
Style tags are not allowed.,Style tags zijn niet toegestaan.
Iframe tags are not allowed.,Iframe-tags zijn niet toegestaan.
Uploaded file is not an image.,Geüploade bestand is geen afbeelding.
Uploaded file size must be less than {#}.,Geuploade bestandsgrootte moet kleiner zijn dan {#} zijn.
Field should not contain HTML tags.,Het gebied mag geen HTML-tags bevatten.
You can enter only positive numbers.,U kunt alleen positieve getallen in te voeren.
Are you sure?,Weet je het zeker?
Comment,Commentaar
Are you sure to update feature status of this seller?,Weet u zeker dat eigenschap status van deze verkoper te werken?
Do you have any comment?,Heeft u opmerkingen?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Voor nauwkeurige rapportage, zorg ervoor dat de levensduur statistieken te vernieuwen als u de tijdzone te wijzigen."
To refresh last day's,Tot de laatste dag te frissen
statistics,statistieken
click,Klik
here,hier
Filter,Filter
Period,Periode
Day,Dag
Month,Maand
Year,Jaar
From,Van
Select Date,Selecteer een datum
To,Naar
Choose Category,Kies categorie
All Categories,Alle categorieën
Choose a Seller,Kies een Verkoper
All Sellers,alle Verkopers
NA,NA
PayPal Payout Settings,PayPal Uitbetaling Instellingen
Active,Actief
Enable or Disable Paypal Payment Method.,In- of uitschakelen Paypal betaalmethode.
Client ID,klant identificatie
Client Secret,client Secret
Paypal Mode,Paypal Mode
Sandbox,sandbox
Live,Leven
Paypal Email Subject,Paypal E-mail Onderwerp
Paypal Currency ,Paypal Currency
Select the default currency set in Paypal Account.,Selecteer de standaard valuta set in Paypal-account.
Are You Sure you want to reset the settings?,Ben je zeker dat je de instellingen opnieuw in te stellen?
Edit Email Template,Bewerken E-mail Template
About Template,over Template
Template Subject,Template Subject
Email Content,email Content
Template Content,Sjabooninhoud
Please do not edit or remove any template variable.,Gelieve niet te wijzigen of te verwijderen template variabele.
Example,Voorbeeld
Seller Account Settings,Verkoper Accountinstellingen
Default Commission,Default Commissie
Please enter a number between 0 and 100 only and in a proper format.,Voer een getal tussen 0 en op slechts 100 en in een juiste formaat.
Use Global,gebruik Global
New Product Limit,Nieuw product Limit
Limit the sellers to add new products without account approval.,Beperk de verkopers om nieuwe producten toe te voegen zonder account goedkeuring.
If left blank than product limit will be assumed 0.,Wanneer leeg dan product limiet links zal worden aangenomen 0.
Categories Allowed,Categorieën toegestaan
If no category is selected that will mean that all the categories are allowed.,Als er geen categorie wordt geselecteerd dat zal betekenen dat alle categorieën zijn toegestaan.
Product Approval Required,Product Goedkeuring vereist
Enable,in staat stellen
Disable,onbruikbaar maken
Enable Seller Review,Inschakelen Verkoper Beoordeling
Required Seller Review Approval,Verplichte Verkoper Beoordeling Goedkeuring
Email to Seller on Order Place,E-mail naar de verkoper op bestelling te plaatsen
Please enter a valid number in this field.,Geef een geldig nummer op dit gebied.
Payout Transaction Request,Uitbetaling Transaction Request
Required Field,Verplicht veld
Invalid Value,Ongeldige waarde
"Invalid Value, please enter a number greater than zero","Ongeldige Value, vul dan een getal groter dan nul"
Minimum 30 character required,Minimaal 30 tekens nodig
General Settings,Algemene instellingen
Enable Marketplace,inschakelen Marketplace
Toggle to enable or disable extension,Schakelen in- of uitbreiding uitschakelen
Default Commission (%),Default Commission (%)
Set default commission in percentage for each product.,Stel standaard commissie percentage voor elk product.
Choose the categories allowed for the sellers. If no category is selected that will mean that all the categories are allowed.,Kies de categorieën toegestaan ​​voor de verkopers. Als er geen categorie wordt geselecteerd dat zal betekenen dat alle categorieën zijn toegestaan.
Register as Seller Field,Registreer als Verkoper Field
Enable to add 'Register as Seller' field while registering.,In staat te stellen 'Registreer u als verkoper veld toe te voegen bij de registratie.
Enable Bulk Import/Export,Enable Bulk Import / Export
"If disable, no seller will be able to use bulk import/export feature.","Als uitschakelen, worden er geen verkoper in staat zijn om te gebruiken bulk import / export-functie."
If enable an email will be sent to seller on order for his product.,Als mogelijk te maken een e-mail op bestelling aan de verkoper worden gestuurd voor zijn product.
Enable Vacation Mode,Enable Vacation Mode
"If disable, no seller will be able to use vacation feature.","Als uitschakelen, worden er geen verkoper in staat zijn om vakantie functie te kunnen gebruiken."
Show Seller Info on Product Page,Toon Verkoper Info op Product Page
Enable/Disable to show/hide seller info on product page.,Inschakelen / uitschakelen om te laten zien / verbergen verkoper info op productpagina.
Enable or Disable Approval of product for the sellers.,In- of uitschakelen Goedkeuring van product voor de verkopers.
Default limit for sellers of adding new products before account approval. Blank will be considered as 0.,Standaard limiet voor verkopers van het toevoegen van nieuwe producten voor rekening goedkeuring. Blank zal worden beschouwd als 0.
Enable or Disable Seller review feature. This feature enables the customers to add review for sellers.,In- of uitschakelen van de verkoper beoordeling feature. Deze functie stelt de klanten om een ​​recensie voor verkopers toe te voegen.
Seller Review Approval Required,Verkoper Beoordeling Goedkeuring vereist
Enable or Disable Approval for seller review. Once the review is approved then only it will be visible to the customers.,In- of goedkeuring voor verkopersrecensie uitschakelen. Zodra de beoordeling dan is goedgekeurd alleen zal het zichtbaar voor de klanten.
Enable Seller List,Enable Seller List
Show or Hide Sellers List from customers.,Tonen of verbergen Sellers lijst van klanten.
Enable Search Box,Inschakelen Search Box
Enable or Disbale search box to search seller on seller listing page.,In- of disbale zoekvak om verkoper op verkoper vermelding pagina te zoeken.
Low Stock Configuration,Low Stock Configuration
Enable Low Stock Notification,Enable Low Stock Notification
Enable or Disable Low Stock Notification feature.,In- of uitschakelen Laag Stock functie voor kennisgeving.
Low Inventory Limit,Low Inventory Limit
Enter the limit below that the products are considered low stock.,Geef het maximumbedrag voor dat de producten worden beschouwd als lage voorraad.
When to Notify,Wanneer Houd
Choose when to notify the seller regarding the critical inventories.,Kiezen wanneer de verkoper met betrekking tot de kritische voorraden te melden.
Cron Job,cron Job
On Order Place,Besteld Place
Send Notifications From,Stuur meldingen van
Choose the email from which you want to send the notifications.,Kies de e-mail van waaruit u de meldingen te verzenden.
