The product status will be 'Disabled' until it is approved from admin.,El estado del producto será 'discapacitado' que haya sido aprobada de administración.
The seller has already added more products. Please either increase the limit or save it as it is.,"El vendedor ya ha añadido más productos. Por favor, ya sea aumentar el límite o guardarlo como es."
Reason,Razón
Required field,Campo requerido
Submit,Enviar
Why do you want to do this?,¿Por qué quieres hacer esto?
Continue,Continuar
Something went wrong. Please try again.,Algo salió mal. Inténtalo de nuevo.
Vacation Interval: ,Intervalo de vacaciones:
Is Active: ,Está activo:
Vacation Halt Status: ,Vacaciones Estado Halt:
Comment: ,Comentario:
Reason for canceling vacation: ,Motivo de la cancelación de las vacaciones:
Vacation Detail,Detalles casa de vacaciones
Your comment to cancel this vacation,Su comentario para cancelar el alquiler
Register as Seller,Registrarse como vendedor
Yes,Sí
No,No
Marketplace CRON Instructions,Instrucciones de CRON mercado
Vacation CRON,CRON vacaciones
Disable the products during the seller's vacation period.,Desactivar los productos durante el período de vacaciones del vendedor.
Low Stock Notification CRON,Baja de la Notificación CRON
Send the notification to the sellers about their low stock products.,Enviar la notificación a los vendedores de sus productos de stock bajas.
Cron Instructions,Instrucciones de cron
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Añadir el Cron Jobs a su tienda a través del panel de control / masilla. Encontrará más adelante la instrucción para añadir el Cron Jobs.
URLs to Add to Cron via Control Panel,URLs a Añadir a Cron través de Panel de control
1. Vacation CRON,1. vacaciones CRON
2. Low Stock Notification CRON,2. Baja CRON de la Notificación
Cron setup via SSH,Cron configuración a través de SSH
Choose Store Categories,Elegir Categorías de las tiendas
Collapse All,Desplegar todo
Expand All,Expandir todo
This operation can take a long time,Esta operación puede tardar mucho tiempo
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Por favor, confirme la conmutación sitio. Se perderán todos los datos que hasn \ 't sido salvados."
Warning message,Mensaje de advertencia
Field cannot be empty.,El campo no puede estar vacío.
You can enter only numbers.,Sólo puede introducir números.
Number should be greater than 0.,El número debe ser mayor que 0.
Field cannot be greater than {#} characters.,El campo no puede ser mayor que {#} caracteres.
Field cannot be less than {#} character(s).,El campo no puede ser inferior a {#} personaje (s).
Please enter Email.,"Por favor, introduzca correo electrónico."
Please enter a valid Email.,Por favor introduzca una dirección de correo electrónico válida.
Invalid date format.,formato de fecha no válida.
Number is not in the valid range. It should be between {#} and {##},El número no está en el rango válido. Debe estar entre {#} y {##}
Field should be numeric.,El campo debe ser numérico.
Field should be positive.,El campo debe ser positiva.
Field can have only upto two decimal values.,El campo sólo puede tener hasta dos valores decimales.
Email cannot be greater than {#} characters.,El correo electrónico no puede ser mayor que {#} caracteres.
Zip should not have special characters.,Zip no debe tener caracteres especiales.
Percentage should be in number.,Porcentaje debe ser en número.
Percentage should be between 0 and 100.,Porcentaje debe estar entre 0 y 100.
Size cannot be greater than {#} characters.,El tamaño no puede ser mayor que {#} caracteres.
Color could not be greater than {#} characters.,El color no podía ser mayor que {#} caracteres.
Color is not valid.,El color no es válida.
Special characters are not allowed.,Caracteres especiales no están permitidos.
Script tags are not allowed.,etiquetas de script no están permitidos.
Style tags are not allowed.,etiquetas de estilo no están permitidos.
Iframe tags are not allowed.,etiquetas iframe no están permitidos.
Uploaded file is not an image.,El archivo subido no es una imagen.
Uploaded file size must be less than {#}.,tamaño de archivo de subida debe ser inferior a {#}.
Field should not contain HTML tags.,El campo no debe contener etiquetas HTML.
You can enter only positive numbers.,Puede introducir sólo números positivos.
Are you sure?,¿Estás seguro?
Comment,Comentario
Are you sure to update feature status of this seller?,¿Seguro que actualizar el estado de las características de este vendedor?
Do you have any comment?,¿Tienes algún comentario?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para una información exacta, asegúrese de actualizar las estadísticas de toda la vida cada vez que cambie la zona horaria."
To refresh last day's,Para actualizar el último día de
statistics,estadística
click,hacer clic
here,aquí
Filter,Filtrar
Period,Período
Day,Día
Month,Mes
Year,Año
From,Desde
Select Date,Seleccione fecha
To,A
Choose Category,Elegir la categoría
All Categories,todas las categorias
Choose a Seller,Elegir un vendedor
All Sellers,todos los vendedores
NA,N / A
PayPal Payout Settings,Configuración de pago de PayPal
Active,Activo
Enable or Disable Paypal Payment Method.,Activar o desactivar Forma de pago PayPal.
Client ID,Identificación del cliente
Client Secret,secreta de cliente
Paypal Mode,Modo paypal
Sandbox,Salvadera
Live,Vivir
Paypal Email Subject,Paypal Asunto del correo
Paypal Currency ,paypal divisas
Select the default currency set in Paypal Account.,Seleccione la moneda establecida por defecto en la cuenta de Paypal.
Are You Sure you want to reset the settings?,¿Está seguro de que desea restablecer los ajustes?
Edit Email Template,Editar Plantilla de correo electrónico
About Template,sobre la plantilla
Template Subject,Asunto plantilla
Email Content,contenido de correo electrónico
Template Content,contenido plantilla
Please do not edit or remove any template variable.,"Por favor, no editar o eliminar cualquier variable de plantilla."
Example,Ejemplo
Seller Account Settings,Configuración de la cuenta del vendedor
Default Commission,Comisión por defecto
Please enter a number between 0 and 100 only and in a proper format.,"Por favor, introduzca un número entre 0 y sólo 100 y en un formato adecuado."
Use Global,El uso global
New Product Limit,Límite de Productos Nuevos
Limit the sellers to add new products without account approval.,Limitar los vendedores para añadir nuevos productos sin aprobación de la cuenta.
If left blank than product limit will be assumed 0.,Si se deja en blanco de producto límite será asumido 0.
Categories Allowed,Categorías animales
If no category is selected that will mean that all the categories are allowed.,Si no se selecciona la categoría que significará que todas las categorías están permitidos.
Product Approval Required,Aprobación producto requerido
Enable,Habilitar
Disable,Inhabilitar
Enable Seller Review,Habilitar opiniones de un vendedor
Required Seller Review Approval,Requerirá la revisión del vendedor Aprobación
Email to Seller on Order Place,Email al vendedor de Orden Place
Please enter a valid number in this field.,"Por favor, introduzca un número válido en este campo."
Payout Transaction Request,Solicitud de pago de transacción
Required Field,Campo requerido
Invalid Value,Valor no válido
"Invalid Value, please enter a number greater than zero","Valor no válido, por favor, introduzca un número mayor que cero"
Minimum 30 character required,Mínimo 30 caracteres requiere
General Settings,Configuración general
Enable Marketplace,Habilitar el mercado
Toggle to enable or disable extension,Alternar para activar o desactivar la extensión
Default Commission (%),Comisión por defecto (%)
Set default commission in percentage for each product.,Establecer comisión defecto en porcentaje para cada producto.
Choose the categories allowed for the sellers. If no category is selected that will mean that all the categories are allowed.,Elija las categorías permitidas para los vendedores. Si no se selecciona la categoría que significará que todas las categorías están permitidos.
Register as Seller Field,Registrarse como vendedor Campo
Enable to add 'Register as Seller' field while registering.,Habilitar añadir 'Registro como vendedor de campo durante el registro.
Enable Bulk Import/Export,Permitir a granel de importación / exportación
"If disable, no seller will be able to use bulk import/export feature.","Si desactivar, ningún vendedor será capaz de utilizar la función de importación / exportación a granel."
If enable an email will be sent to seller on order for his product.,Si habilitar un correo electrónico será enviado al vendedor en el fin de su producto.
Enable Vacation Mode,Activar el modo de vacaciones
