The product status will be 'Disabled' until it is approved from admin.,سيتم وضع المنتج 'معطل' حتى يتم الموافقة عليه من الادارة.
The seller has already added more products. Please either increase the limit or save it as it is.,كان البائع قد أضفت المزيد من المنتجات. يرجى إما زيادة الحد أو حفظه كما هو.
Reason,السبب
Required field,يتطلب حقلا
Submit,خضع
Why do you want to do this?,لماذا تريد أن تفعل هذا؟
Continue,استمر
Something went wrong. Please try again.,هناك خطأ ما. حاول مرة اخرى.
Vacation Interval: ,عطلة الفاصل الزمني:
Is Active: ,هل تواجد في:
Vacation Halt Status: ,عطلة حالة وقف:
Comment: ,تعليق:
Reason for canceling vacation: ,سبب إلغاء عطلة:
Vacation Detail,عطلة التفاصيل
Your comment to cancel this vacation,تعليقك لإلغاء هذه العطلة
Register as Seller,تسجل البائع
Yes,نعم فعلا
No,لا
Marketplace CRON Instructions,السوق CRON تعليمات
Vacation CRON,عطلة CRON
Disable the products during the seller's vacation period.,تعطيل هذه المنتجات خلال فترة عطلة البائع.
Low Stock Notification CRON,انخفاض اسهم CRON إعلام
Send the notification to the sellers about their low stock products.,إرسال الإخطار إلى البائعين حول منتجات الأوراق المالية المنخفضة بهم.
Cron Instructions,كرون تعليمات
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,إضافة وظائف كرون لتخزين الخاص بك عن طريق لوحة التحكم / المعجون. البحث تحت تعليمات لإضافة وظائف كرون.
URLs to Add to Cron via Control Panel,عناوين المواقع إلى إضافة لكرون عن طريق لوحة تحكم
1. Vacation CRON,1. عطلة CRON
2. Low Stock Notification CRON,2. انخفاض CRON المالية إعلام
Cron setup via SSH,الإعداد كرون عن طريق SSH
Choose Store Categories,اختيار مخزن الفئات
Collapse All,انهيار جميع
Expand All,توسيع الكل
This operation can take a long time,هذه العملية يمكن أن تستغرق وقتا طويلا
Please confirm site switching. All data that hasn\'t been saved will be lost.,الرجاء التأكد من تحويل الموقع. سيتم فقدان جميع البيانات التي تم حفظها HASN \ 'ر.
Warning message,رسالة تحذير
Field cannot be empty.,لا يمكن أن يكون الحقل فارغا.
You can enter only numbers.,يمكنك إدخال أرقام فقط.
Number should be greater than 0.,يجب أن تكون عدد أكبر من 0.
Field cannot be greater than {#} characters.,لا يمكن أن يكون الحقل أكبر من {#} حرفا.
Field cannot be less than {#} character(s).,لا يمكن أن يكون الحقل أقل من {#} حرف (ق).
Please enter Email.,يرجى إدخال البريد الإلكتروني.
Please enter a valid Email.,يرجى إدخال البريد الإلكتروني الصحيح.
Invalid date format.,تنسيق التاريخ غير صالح.
Number is not in the valid range. It should be between {#} and {##},عدد غير موجود في النطاق الصالح. وينبغي أن يكون بين {#} و {##}
Field should be numeric.,يجب أن يكون حقل رقمي.
Field should be positive.,يجب أن يكون الحقل إيجابي.
Field can have only upto two decimal values.,يمكن أن يكون الحقل فقط تصل قيمتين عشرية.
Email cannot be greater than {#} characters.,البريد الإلكتروني لا يمكن أن يكون أكبر من {#} حرفا.
Zip should not have special characters.,لا ينبغي أن يكون الرمز البريدي أحرف خاصة.
Percentage should be in number.,يجب أن تكون النسبة المئوية في العدد.
Percentage should be between 0 and 100.,يجب أن تكون النسبة المئوية بين 0 و 100.
Size cannot be greater than {#} characters.,الحجم لا يمكن أن يكون أكبر من {#} حرفا.
Color could not be greater than {#} characters.,اللون لا يمكن أن يكون أكبر من {#} حرفا.
Color is not valid.,لون غير صالح.
Special characters are not allowed.,يمنع استعمال الرموز.
Script tags are not allowed.,لا يسمح علامات البرنامج النصي.
Style tags are not allowed.,لا يسمح العلامات نمط.
Iframe tags are not allowed.,لا يسمح علامات IFRAME.
Uploaded file is not an image.,ملف مرفوع ليس صورة.
Uploaded file size must be less than {#}.,يجب أن يكون مرفوع حجم الملف أقل من {#}.
Field should not contain HTML tags.,يجب أن لا يحتوي على حقل علامات HTML.
You can enter only positive numbers.,يمكنك إدخال أرقام موجبة فقط.
Are you sure?,هل أنت واثق؟
Comment,تعليق
Are you sure to update feature status of this seller?,هل أنت متأكد لتحديث مركز سمة من سمات هذا البائع؟
Do you have any comment?,هل لديك أي تعليق؟
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.",لإعداد تقارير دقيقة، تأكد من تحديث الإحصاءات العمر كلما قمت بتغيير المنطقة الزمنية.
To refresh last day's,لتحديث يوم آخر ل
statistics,الإحصاء
click,انقر
here,هنا
Filter,منقي
Period,فترة
Day,يوم
Month,شهر
Year,عام
From,من عند
Select Date,حدد تاريخ
To,إلى
Choose Category,اختر الفئة
All Categories,جميع الفئات
Choose a Seller,اختيار البائع
All Sellers,جميع البائعين
NA,NA
PayPal Payout Settings,إعدادات سيصرف باي بال
Active,نشيط
Enable or Disable Paypal Payment Method.,تمكين أو تعطيل باي بال طريقة الدفع.
Client ID,ID العميل
Client Secret,سر العميل
Paypal Mode,الوضع باي بال
Sandbox,رمل
Live,حي
Paypal Email Subject,باي بال موضوع الرسالة
Paypal Currency ,باي بال العملات
Select the default currency set in Paypal Account.,حدد مجموعة العملة الافتراضية في حساب باي بال.
Are You Sure you want to reset the settings?,هل أنت متأكد من أنك تريد إعادة تعيين إعدادات؟
Edit Email Template,تحرير قالب البريد الإلكتروني
About Template,معلومات عن قالب
Template Subject,قالب الموضوع
Email Content,البريد الإلكتروني المحتوى
Template Content,محتوى النموذج
Please do not edit or remove any template variable.,من فضلك لا تعديل أو إزالة أي متغير القالب.
Example,مثال
Seller Account Settings,إعدادات الحساب البائع
Default Commission,لجنة افتراضي
Please enter a number between 0 and 100 only and in a proper format.,الرجاء إدخال رقم بين 0 و 100 فقط وفي الشكل الصحيح.
