The product status will be 'Disabled' until it is approved from admin.,Produkten status kommer att 'handikappade' förrän den har godkänts av admin.
The seller has already added more products. Please either increase the limit or save it as it is.,Säljaren har redan lagt till fler produkter. Vänligen antingen höja gränsen eller spara det som det är.
Reason,Anledning
Required field,obligatoriskt fält
Submit,Lämna
Why do you want to do this?,Varför vill du göra det här?
Continue,Fortsätta
Something went wrong. Please try again.,Något gick fel. Var god försök igen.
Vacation Interval: ,Semester Intervall:
Is Active: ,Är aktiv:
Vacation Halt Status: ,Vacation Halt Status:
Comment: ,Kommentar:
Reason for canceling vacation: ,Anledning till att avbryta semester:
Vacation Detail,semester~~POS=TRUNC Detalj
Your comment to cancel this vacation,Din kommentar att avbryta semester
Register as Seller,Registrera dig som säljare
Yes,Ja
No,Nej
Marketplace CRON Instructions,Marknads Cron Instruktioner
Vacation CRON,semester~~POS=TRUNC CRON
Disable the products during the seller's vacation period.,Inaktivera produkterna under säljarens semesterperioden.
Low Stock Notification CRON,Låg Stock Anmälan CRON
Send the notification to the sellers about their low stock products.,Skicka anmälan till säljarna om deras låga lagerprodukter.
Cron Instructions,cron Instruktioner
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Tillsätt Cron jobb till din butik via kontrollpanelen / kitt. Nedan instruktionen att lägga till Cron Jobs.
URLs to Add to Cron via Control Panel,URL: er att lägga till Cron via Kontrollpanelen
1. Vacation CRON,1. Semester CRON
2. Low Stock Notification CRON,2. Låg Stock Anmälan CRON
Cron setup via SSH,Cron inställning via SSH
Choose Store Categories,Välj Affärskategorier
Collapse All,Kollapsa alla
Expand All,Expandera alla
This operation can take a long time,Denna operation kan ta lång tid
Please confirm site switching. All data that hasn\'t been saved will be lost.,Bekräfta plats växling. Alla data som hasn '\ t sparats kommer att gå förlorade.
Warning message,Varningsmeddelande
Field cannot be empty.,Fältet kan inte vara tomt.
You can enter only numbers.,Du kan endast ange siffror.
Number should be greater than 0.,Nummer bör vara större än 0.
Field cannot be greater than {#} characters.,Fältet kan inte vara större än {#} tecken.
Field cannot be less than {#} character(s).,Fältet kan inte vara mindre än {#} tecken (s).
Please enter Email.,Ange E-post.
Please enter a valid Email.,Ange ett giltigt e-post.
