The product status will be 'Disabled' until it is approved from admin.,"Tuotteen tila näkyy 'Disabled', kunnes se on hyväksytty admin."
The seller has already added more products. Please either increase the limit or save it as it is.,Myyjä on jo lisätty enemmän tuotteita. Ota joko nostamaan rajaa tai tallentaa sen sellaisenaan.
Reason,Syy
Required field,Vaadittu kenttä
Submit,Lähetä
Why do you want to do this?,Miksi haluat tehdä tämän?
Continue,Jatkaa
Something went wrong. Please try again.,Jotain meni pieleen. Yritä uudelleen.
Vacation Interval: ,Loma Väli:
Is Active: ,On aktiivinen:
Vacation Halt Status: ,Loma Halt Tila:
Comment: ,Kommentti:
Reason for canceling vacation: ,Peruuttamisen syy loma:
Vacation Detail,loma Yksityiskohta
Your comment to cancel this vacation,Kommenttisi peruuttaa loma
Register as Seller,Ilmoittautua Myyjä
Yes,Joo
No,Ei
Marketplace CRON Instructions,Marketplace CRON Ohjeet
Vacation CRON,loma CRON
Disable the products during the seller's vacation period.,Poistaa tuotemassa myyjän Lomakauden.
Low Stock Notification CRON,Alhainen Stock Ilmoitus CRON
Send the notification to the sellers about their low stock products.,Lähettää ilmoituksen myyjille heidän pienet varastot tuotteita.
Cron Instructions,cron Ohjeet
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Lisää Cron Jobs ihmettelemään ohjauspaneelista / kitti. Alla Instruction lisätä Cron Jobs.
URLs to Add to Cron via Control Panel,URL-Lisää Cron ohjauspaneelin kautta
1. Vacation CRON,1. Vacation CRON
2. Low Stock Notification CRON,2. Alhainen Stock Ilmoitus CRON
Cron setup via SSH,Cron asennus SSH
Choose Store Categories,Valitse Store Luokat
Collapse All,Tiivistä kaikki
Expand All,Laajenna kaikki
This operation can take a long time,Tämä operaatio voi kestää kauan
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Vahvista sivusto kytkentä. Kaikki tiedot, jotka Hasn \ 't on tallennettu menetetään."
Warning message,varoitusviesti
Field cannot be empty.,Kenttä ei voi olla tyhjä.
You can enter only numbers.,Voit kirjoittaa vain numeroita.
Number should be greater than 0.,Numeron on oltava suurempi kuin 0.
Field cannot be greater than {#} characters.,Kenttä ei voi olla suurempi kuin {#} merkkiä.
Field cannot be less than {#} character(s).,Kenttä ei voi olla pienempi kuin {#} merkki (s).
Please enter Email.,Anna sähköposti.
Please enter a valid Email.,Anna kelvollinen sähköposti.
Invalid date format.,Virheellinen päivämäärän muoto.
Number is not in the valid range. It should be between {#} and {##},Numero ei ole kelvollisella alueella. Sen tulisi olla välillä {#} ja {##}
