The product status will be 'Disabled' until it is approved from admin.,"Статус продукта будет «Выключен», пока он не будет утвержден от администратора."
The seller has already added more products. Please either increase the limit or save it as it is.,"Продавец уже добавил больше продуктов. Пожалуйста, либо увеличить лимит или сохранить его как есть."
Reason,причина
Required field,Обязательное поле
Submit,Отправить
Why do you want to do this?,почему ты хочешь сделать это?
Continue,Продолжить
Something went wrong. Please try again.,"Что-то пошло не так. Пожалуйста, попробуйте еще раз."
Vacation Interval: ,Отпуск Интервал:
Is Active: ,Активна:
Vacation Halt Status: ,Отпуск Halt Статус:
Comment: ,Комментарий:
Reason for canceling vacation: ,Причина отмены отпуска:
Vacation Detail,отпуск Деталь
Your comment to cancel this vacation,Ваш комментарий отменить этот отпуск
Register as Seller,Регистрация в качестве продавца
Yes,да
No,нет
Marketplace CRON Instructions,Торговая CRON Инструкции
Vacation CRON,отпуск CRON
Disable the products during the seller's vacation period.,Отключить продукты во время отпуска продавца.
Low Stock Notification CRON,Низкий сток Уведомление CRON
Send the notification to the sellers about their low stock products.,Отправить уведомление продавцов о своих низких биржевых продуктах.
Cron Instructions,Cron Инструкции
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,"Добавьте Работу Cron в магазин через панель управления / замазку. Найти ниже инструкции, чтобы добавить Cron Jobs."
URLs to Add to Cron via Control Panel,"URL, чтобы добавить в Cron через панель управления"
1. Vacation CRON,1. Отпуск CRON
2. Low Stock Notification CRON,2. Низкая Stock Notification CRON
Cron setup via SSH,Настройка Крон с помощью SSH
Choose Store Categories,Выбрать магазин Категории
Collapse All,Свернуть все
Expand All,Расширить все
This operation can take a long time,Эта операция может занять много времени
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Пожалуйста, подтвердите переключение сайта. Все данные, которые hasn \ 'т были сохранены, будут потеряны."
Warning message,Предупреждающее сообщение
Field cannot be empty.,Поле не может быть пустым.
You can enter only numbers.,Можно ввести только цифры.
Number should be greater than 0.,Количество должно быть больше 0.
Field cannot be greater than {#} characters.,"Поле не может быть больше, чем {#} символов."
Field cannot be less than {#} character(s).,"Поле не может быть меньше, чем {#} символ (ы)."
Please enter Email.,"Пожалуйста, введите e-mail."
Please enter a valid Email.,"Введите, пожалуйста, действительный адрес электронной почты."
Invalid date format.,Неверный формат даты.
Number is not in the valid range. It should be between {#} and {##},Номер не в допустимом диапазоне. Оно должно быть между {#} и {##}
Field should be numeric.,Поле должно быть числовым.
Field should be positive.,Поле должно быть положительным.
Field can have only upto two decimal values.,Поле может иметь только ДО двух десятичных значений.
Email cannot be greater than {#} characters.,"Email не может быть больше, чем {#} символов."
