The product status will be 'Disabled' until it is approved from admin.,Le statut de produit sera « handicapé » jusqu'à ce qu'il soit approuvé par admin.
The seller has already added more products. Please either increase the limit or save it as it is.,Le vendeur a déjà ajouté plus de produits. S'il vous plaît augmenter soit la limite ou l'enregistrer comme il est.
Reason,Raison
Required field,champs requis
Submit,Soumettre
Why do you want to do this?,Pourquoi veux-tu faire cela?
Continue,Continuer
Something went wrong. Please try again.,Quelque chose a mal tourné. Veuillez réessayer.
Vacation Interval: ,Intervalle de vacances:
Is Active: ,C'est actif:
Vacation Halt Status: ,Vacances Halt Statut:
Comment: ,Commentaire:
Reason for canceling vacation: ,Motif de l'annulation de vacances:
Vacation Detail,Détail de vacances
Your comment to cancel this vacation,Votre commentaire pour annuler ces vacances
Register as Seller,Inscrivez-vous en tant que vendeur
Yes,Oui
No,Non
Marketplace CRON Instructions,Instructions du marché CRON
Vacation CRON,vacances CRON
Disable the products during the seller's vacation period.,Désactiver les produits pendant la période de vacances du vendeur.
Low Stock Notification CRON,Avis CRON Stock faible
Send the notification to the sellers about their low stock products.,Envoyer la notification aux vendeurs de leurs produits à faible stock.
Cron Instructions,Instructions cron
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Ajouter les emplois Cron à votre magasin via le panneau de commande / mastic. Trouvez ci-dessous l'instruction d'ajouter les emplois Cron.
URLs to Add to Cron via Control Panel,URL à Ajouter à Cron via le Panneau de configuration
1. Vacation CRON,1. vacances CRON
2. Low Stock Notification CRON,2. La notification faible stock CRON
Cron setup via SSH,configuration Cron via SSH
Choose Store Categories,Choisissez Catégories de magasins
Collapse All,Réduire tout
Expand All,Développer tout
This operation can take a long time,Cette opération peut prendre un certain temps
Please confirm site switching. All data that hasn\'t been saved will be lost.,S'il vous plaît confirmer le passage du site. Toutes les données hasn \ 't été enregistrées seront perdues.
Warning message,Message d'alerte
Field cannot be empty.,Le champ ne peut être vide.
You can enter only numbers.,Vous pouvez entrer des chiffres.
Number should be greater than 0.,Le nombre doit être supérieur à 0.
Field cannot be greater than {#} characters.,Le champ ne peut être supérieure à caractères {n}.
Field cannot be less than {#} character(s).,Le champ ne peut être inférieur à caractère {n} (s).
Please enter Email.,S'il vous plaît entrer e-mail.
Please enter a valid Email.,S'il vous plaît entrer un courriel valide.
Invalid date format.,Format de date non valide.
Number is not in the valid range. It should be between {#} and {##},Nombre n'est pas dans la plage valide. Il doit être entre {#} et {##}
Field should be numeric.,Champ doit être numérique.
Field should be positive.,Terrain devrait être positif.
Field can have only upto two decimal values.,Le champs ne peut avoir jusqu'à deux valeurs décimales.
Email cannot be greater than {#} characters.,Email ne peut pas être supérieure à caractères {n}.
Zip should not have special characters.,Zip ne devrait pas avoir des caractères spéciaux.
Percentage should be in number.,Pourcentage devrait être en nombre.
Percentage should be between 0 and 100.,Pourcentage devrait être compris entre 0 et 100.
Size cannot be greater than {#} characters.,Taille ne peut pas être supérieure à caractères {n}.
Color could not be greater than {#} characters.,Couleur ne pouvait pas être plus que les caractères {n}.
Color is not valid.,La couleur est pas valide.
Special characters are not allowed.,Les caractères spéciaux ne sont pas autorisés.
Script tags are not allowed.,balises de script ne sont pas autorisés.
Style tags are not allowed.,Les balises de style ne sont pas autorisés.
Iframe tags are not allowed.,tags iframe ne sont pas autorisés.
Uploaded file is not an image.,fichier téléchargé n'est pas une image.
Uploaded file size must be less than {#}.,Téléchargé taille du fichier doit être inférieure à {#}.
Field should not contain HTML tags.,Champ ne doit pas contenir des balises HTML.
You can enter only positive numbers.,Vous pouvez entrer uniquement des nombres positifs.
Are you sure?,Êtes-vous sûr?
Comment,Commentaire
Are you sure to update feature status of this seller?,Êtes-vous sûr de mettre à jour le statut de caractéristique de ce vendeur?
Do you have any comment?,Avez-vous des commentaires?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Pour des rapports précis, assurez-vous de rafraîchir les statistiques de vie chaque fois que vous modifiez le fuseau horaire."
To refresh last day's,Pour rafraîchir le dernier jour de
statistics,statistiques
click,Cliquez sur
here,ici
Filter,Filtre
Period,Période
Day,journée
Month,Mois
Year,Année
From,De
Select Date,Sélectionner une date
To,À
Choose Category,choisir une catégorie
All Categories,toutes catégories
Choose a Seller,Choisissez un vendeur
All Sellers,tous les vendeurs
NA,N / A
PayPal Payout Settings,Paramètres de paiement PayPal
Active,actif
Enable or Disable Paypal Payment Method.,Activer ou désactiver Paypal Mode de paiement.
Client ID,identité du client
Client Secret,secret client
Paypal Mode,mode de Paypal
Sandbox,bac à sable
Live,Vivre
Paypal Email Subject,Paypal Sujet Email
Paypal Currency ,devise Paypal
Select the default currency set in Paypal Account.,Sélectionnez l'ensemble de devise par défaut compte Paypal.
Are You Sure you want to reset the settings?,Êtes-vous sûr de vouloir réinitialiser les paramètres?
Edit Email Template,Modifier le modèle e-mail
About Template,A propos de modèle
Template Subject,Objet modèle
Email Content,Contenu Email
Template Content,contenu du modèle
Please do not edit or remove any template variable.,S'il vous plaît ne pas modifier ou supprimer une variable de modèle.
Example,Exemple
Seller Account Settings,Paramètres du compte du vendeur
Default Commission,Commission par défaut
Please enter a number between 0 and 100 only and in a proper format.,S'il vous plaît entrer un nombre entre 0 et 100 seulement et dans un format approprié.
Use Global,L'utilisation mondiale
New Product Limit,Nouvelle limite de produit
Limit the sellers to add new products without account approval.,Limiter les vendeurs d'ajouter de nouveaux produits sans l'approbation du compte.
If left blank than product limit will be assumed 0.,Si laissé vide que la limite du produit sera assumée 0.
Categories Allowed,Catégories admis
If no category is selected that will mean that all the categories are allowed.,Si aucune catégorie est sélectionnée qui signifie que toutes les catégories sont autorisées.
Product Approval Required,Approbation du produit requis
Enable,Activer
Disable,désactiver
Enable Seller Review,Activer le vendeur critique
Required Seller Review Approval,Approbation requise Vendeur examen
Email to Seller on Order Place,E-mail au vendeur sur l'ordre Lieu
Please enter a valid number in this field.,S'il vous plaît entrer un numéro valide dans ce domaine.
Payout Transaction Request,Demande de transaction de paiement
Required Field,Champs requis
Invalid Value,Valeur invalide
"Invalid Value, please enter a number greater than zero","Valeur non valide, s'il vous plaît entrer un nombre supérieur à zéro"
Minimum 30 character required,Minimum 30 caractères requis
General Settings,réglages généraux
Enable Marketplace,activer marché
Toggle to enable or disable extension,Basculer pour activer ou désactiver l'extension
Default Commission (%),Commission par défaut (de%)
Set default commission in percentage for each product.,Définir commission par défaut en pourcentage pour chaque produit.
Choose the categories allowed for the sellers. If no category is selected that will mean that all the categories are allowed.,Choisissez les catégories autorisées pour les vendeurs. Si aucune catégorie est sélectionnée qui signifie que toutes les catégories sont autorisées.
Register as Seller Field,Inscrivez-vous en tant que vendeur champs
Enable to add 'Register as Seller' field while registering.,Activer ajouter « enregistrer en tant que vendeur » champ lors de l'enregistrement.
Enable Bulk Import/Export,Activer bloc Import / Export
"If disable, no seller will be able to use bulk import/export feature.","Si désactiver, aucun vendeur ne pourra utiliser en vrac fonction import / export."
If enable an email will be sent to seller on order for his product.,Si enable un email sera envoyé au vendeur sur commande pour son produit.
Enable Vacation Mode,Activer le mode de vacances
"If disable, no seller will be able to use vacation feature.","Si désactiver, aucun vendeur pourra utiliser la fonction de vacances."
Show Seller Info on Product Page,Afficher les informations Vendeur sur la page produit
Enable/Disable to show/hide seller info on product page.,Activer / Désactiver pour afficher / cacher les informations du vendeur à la page du produit.
Enable or Disable Approval of product for the sellers.,Activer ou désactiver l'approbation du produit pour les vendeurs.
Default limit for sellers of adding new products before account approval. Blank will be considered as 0.,limite par défaut pour les vendeurs de l'ajout de nouveaux produits avant l'approbation du compte. Blank sera considéré comme 0.
