The product status will be 'Disabled' until it is approved from admin.,O status do produto será 'deficiente' até que seja aprovado de administrador.
The seller has already added more products. Please either increase the limit or save it as it is.,"O vendedor já adicionou mais produtos. Por favor, aumente o limite ou guardá-lo como ele é."
Reason,Razão
Required field,Campo obrigatório
Submit,Enviar
Why do you want to do this?,Por que você quer fazer isso?
Continue,Continuar
Something went wrong. Please try again.,"Algo deu errado. Por favor, tente novamente."
Vacation Interval: ,Intervalo de férias:
Is Active: ,Está ativo:
Vacation Halt Status: ,Férias Estado Halt:
Comment: ,Comente:
Reason for canceling vacation: ,Motivo do cancelamento de férias:
Vacation Detail,Detalhe de férias
Your comment to cancel this vacation,O seu comentário para cancelar este férias
Register as Seller,Registar como vendedor
Yes,sim
No,Não
Marketplace CRON Instructions,Instruções cron mercado
Vacation CRON,CRON férias
Disable the products during the seller's vacation period.,Desativar os produtos durante o período de férias do vendedor.
Low Stock Notification CRON,Baixa da Notificação CRON
Send the notification to the sellers about their low stock products.,Enviar a notificação aos vendedores sobre os seus produtos de baixa de ações.
Cron Instructions,Instruções de cron
Add the Cron Jobs to your store via control panel/putty. Find below the Instruction to add the Cron Jobs.,Adicione o Cron Jobs a sua loja através do painel de controle / massa de vidraceiro. Veja abaixo a Instrução para adicionar o Cron Jobs.
URLs to Add to Cron via Control Panel,URLs para adicionar ao Cron via Painel de Controle
1. Vacation CRON,1. férias CRON
2. Low Stock Notification CRON,2. Baixo CRON da Notificação
Cron setup via SSH,configuração Cron via SSH
Choose Store Categories,Escolha Categorias da loja
Collapse All,Recolher todos
Expand All,Expandir todos
This operation can take a long time,Esta operação pode levar um longo tempo
Please confirm site switching. All data that hasn\'t been saved will be lost.,"Por favor, confirme comutação site. Todos os dados que hasn \ 't foram salvos serão perdidos."
Warning message,Mensagem de aviso
Field cannot be empty.,O campo não pode estar vazio.
You can enter only numbers.,Você pode digitar apenas números.
Number should be greater than 0.,Número deve ser maior que 0.
Field cannot be greater than {#} characters.,O campo não pode ser maior que {#} caracteres.
Field cannot be less than {#} character(s).,O campo não pode ser inferior a personagem {#} (s).
Please enter Email.,"Por favor, indique-mail."
Please enter a valid Email.,Por favor digite um email válido.
Invalid date format.,Formato de data inválido.
Number is not in the valid range. It should be between {#} and {##},O número não está no intervalo válido. Ele deve estar entre {#} e {##}
Field should be numeric.,O campo deve ser numérico.
Field should be positive.,O campo deve ser positivo.
Field can have only upto two decimal values.,O campo só pode ter até dois valores decimais.
Email cannot be greater than {#} characters.,Email não pode ser maior que {#} caracteres.
Zip should not have special characters.,Zip não deve ter caracteres especiais.
Percentage should be in number.,Percentagem devem ser em número.
Percentage should be between 0 and 100.,Percentagem deve situar-se entre 0 e 100.
Size cannot be greater than {#} characters.,Tamanho não pode ser maior que {#} caracteres.
Color could not be greater than {#} characters.,A cor não poderia ser maior do que {#} caracteres.
Color is not valid.,A cor não é válido.
Special characters are not allowed.,Caracteres especiais não são permitidos.
Script tags are not allowed.,tags de script não são permitidos.
Style tags are not allowed.,marcas de estilo não são permitidos.
Iframe tags are not allowed.,tags Iframe não são permitidos.
Uploaded file is not an image.,O arquivo enviado não é uma imagem.
Uploaded file size must be less than {#}.,tamanho de arquivo deve ser inferior a {#}.
Field should not contain HTML tags.,O campo não deve conter tags HTML.
You can enter only positive numbers.,Você pode digitar apenas números positivos.
Are you sure?,Você tem certeza?
Comment,Comente
Are you sure to update feature status of this seller?,Tem certeza que deseja atualizar o status característica deste vendedor?
Do you have any comment?,Você tem algum comentário?
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para relatórios precisos, não se esqueça de atualizar as estatísticas de vida sempre que você alterar o fuso horário."
To refresh last day's,Para atualizar o último dia de
statistics,Estatisticas
click,clique
here,Aqui
Filter,Filtro
Period,Período
Day,Dia
Month,Mês
Year,Ano
From,De
Select Date,Selecione a data
To,Para
Choose Category,Escolher categoria
All Categories,todas as categorias
Choose a Seller,Escolha um Vendedor
All Sellers,Todos os vendedores
NA,N / D
PayPal Payout Settings,Configurações de pagamento PayPal
Active,Ativo
Enable or Disable Paypal Payment Method.,Ativar ou desativar Paypal Método de pagamento.
Client ID,ID do Cliente
Client Secret,cliente secreto
Paypal Mode,Modo Paypal
Sandbox,Caixa de areia
Live,Viver
Paypal Email Subject,Paypal E-mail Assunto
Paypal Currency ,Moeda Paypal
Select the default currency set in Paypal Account.,Selecione o conjunto de moeda padrão na conta Paypal.
Are You Sure you want to reset the settings?,Tem certeza de que deseja redefinir as configurações?
Edit Email Template,Editar modelo E-mail
About Template,Sobre Template
Template Subject,Assunto modelo
Email Content,email Content
Template Content,conteúdo do modelo
Please do not edit or remove any template variable.,"Por favor, não editar ou remover qualquer variável de modelo."
Example,Exemplo
Seller Account Settings,Configurações Vendedor Conta
Default Commission,Comissão padrão
Please enter a number between 0 and 100 only and in a proper format.,Por favor insira um número entre 0 e apenas 100 e em um formato adequado.
Use Global,uso global
New Product Limit,Novo produto limite
Limit the sellers to add new products without account approval.,Limitar os vendedores para adicionar novos produtos sem a aprovação da conta.
If left blank than product limit will be assumed 0.,Se deixado em branco do que o limite do produto será assumido 0.
Categories Allowed,categorias admitidos
If no category is selected that will mean that all the categories are allowed.,Se nenhuma categoria é selecionada que significa que todas as categorias são permitidos.
Product Approval Required,Aprovação do Produto Requerido
Enable,Habilitar
Disable,incapacitar
Enable Seller Review,Ativar Vendedor revisão
Required Seller Review Approval,Necessário Vendedor revisão Aprovação
Email to Seller on Order Place,E-mail com vendedor sobre Pedido Coloque
Please enter a valid number in this field.,Por favor insira um número válido neste campo.
Payout Transaction Request,Pedido de Pagamento Transação
Required Field,Campo obrigatório
Invalid Value,Valor inválido
"Invalid Value, please enter a number greater than zero","Valor inválido, introduza um número maior que zero"
Minimum 30 character required,Mínimo de 30 caracteres exigido
General Settings,Configurações Gerais
Enable Marketplace,Ativar mercado
Toggle to enable or disable extension,Alternar para ativar ou desativar a extensão
Default Commission (%),Padrão Comissão (%)
Set default commission in percentage for each product.,Definir comissão padrão em porcentagem para cada produto.
Choose the categories allowed for the sellers. If no category is selected that will mean that all the categories are allowed.,Escolha as categorias permitidas para os vendedores. Se nenhuma categoria é selecionada que significa que todas as categorias são permitidos.
Register as Seller Field,Registar como vendedor Campo
Enable to add 'Register as Seller' field while registering.,Ativar para adicionar 'Registo como Vendedor' campo durante o registo.
Enable Bulk Import/Export,Ativar massa de importação / exportação
"If disable, no seller will be able to use bulk import/export feature.","Se desativar, nenhum vendedor será capaz de usar o recurso de importação / exportação em massa."
If enable an email will be sent to seller on order for his product.,Se permitir que um e-mail será enviado para o vendedor em ordem para o seu produto.
Enable Vacation Mode,Ativar o modo de férias
"If disable, no seller will be able to use vacation feature.","Se desativar, nenhum vendedor será capaz de usar o recurso de férias."
Show Seller Info on Product Page,Mostrar Vendedor Info na página do produto
Enable/Disable to show/hide seller info on product page.,Activar / Desactivar para exibir / ocultar informações vendedor na página do produto.
Enable or Disable Approval of product for the sellers.,Ativar ou Desativar Aprovação de produto para os vendedores.
Default limit for sellers of adding new products before account approval. Blank will be considered as 0.,limite padrão para os vendedores de adicionar novos produtos antes da aprovação da conta. Em branco serão consideradas como 0.
Enable or Disable Seller review feature. This feature enables the customers to add review for sellers.,Ativar ou recurso revisão Disable Vendedor. Este recurso permite que os clientes para adicionar comentário para vendedores.
Seller Review Approval Required,Vendedor revisão Aprovação necessária
Enable or Disable Approval for seller review. Once the review is approved then only it will be visible to the customers.,"Ativar ou desativar Aprovação para revisão vendedor. Uma vez que a revisão seja aprovada, em seguida, só que será visível para os clientes."
Enable Seller List,Habilitar Lista Vendedor
Show or Hide Sellers List from customers.,Mostrar ou ocultar Sellers Lista de clientes.
Enable Search Box,Ativar Caixa de pesquisa
Enable or Disbale search box to search seller on seller listing page.,Ativar ou caixa de pesquisa disbale de pesquisa vendedor na página vendedor listagem.
Low Stock Configuration,Baixa da Configuração
Enable Low Stock Notification,Ativar Baixa da Notificação
Enable or Disable Low Stock Notification feature.,Ativar ou desativar recurso Baixa da notificação.
Low Inventory Limit,Limite Inferior Inventory
Enter the limit below that the products are considered low stock.,Digite o limite abaixo do que os produtos são considerados de baixo estoque.
When to Notify,Quando notificar
Choose when to notify the seller regarding the critical inventories.,Escolha quando notificar o vendedor sobre os estoques críticos.
Cron Job,cron Job
On Order Place,No pedido Lugar
Send Notifications From,Enviar notificações
Choose the email from which you want to send the notifications.,Escolha o e-mail a partir do qual você deseja enviar as notificações.
Seller Name,Nome do Vendedor
Select,selecionar
Transaction ID,ID da transação
Transaction Type,Tipo de transação
Amount,Montante
Send Email to Seller,Enviar email ao vendedor
"Invalid Value, please enter a number greater then zero","Valor inválido, introduza um número maior que zero"
Add New Transaction,Adicionar novo Transação
Posted On: ,Postado em:
Customer Rating: ,Avaliação do cliente:
Review: ,Reveja:
Reason for Disapproval: ,Motivo da reprovação:
Seller Review Detail,Vendedor Detalhe revisão
Provide Your Reason,Fornecer sua razão
We can\'t find products matching the selection.,Podemos \ 't encontrar produtos com essa seleção.
View Details,Ver detalhes
In stock,Em estoque
Out of stock,Fora de estoque
Learn More,Saber mais
My Sales Dashboard,Meu Painel de Vendas
Total Revenue,Rendimento total
Total Orders,total de encomendas
Total Products Sold,Total de Produtos Vendidos
Last 7 Days,Últimos 7 dias
Sales Comparisons,As comparações de vendas
Orders,ordens
Revenue,receita
Products Sold,produtos Vendidos
Discounts,descontos
Balance Amount Variations,Variações Saldo Valor
Today,Hoje
Yesterday,Ontem
This Week,Esta semana
Last Week,Semana passada
This Month,Este mês
Last Month,Mês passado
This Year,Este ano
Last Year,Ano passado
Last 10 Orders,Últimos 10 ordens
View All Orders,Ver em todo o Brasil
Order Number,Número do pedido
Order Date,Data do pedido
Customer Name,nome do cliente
Customer Email,Email do cliente
Qty,Qtde
Status,estado
Order Total,total de pedidos
click to view order,clique para ver fim
No Orders Placed Yet,"Sem pedidos Colocado No entanto,"
Seller Products,Vendedor produtos
Filter Products,Filtrar produtos
Category,Categoria
Sort By,Ordenar por
Name,Nome
SKU,SKU
Price(low to high),Preço (baixo para alto)
Price(high to low),Preço (alto a baixo)
Products Feedback,produtos de feedback
Filter Your Search,Filtre sua pesquisa
Search,Procurar
Reset,Restabelecer
No Data,No Data
Posted on,postado em
by,por
Rating,Avaliação
Summary,resumo
Review,Reveja
My Products Catalog,Meu Produtos Catálogo
New Product,Novo produto
Choose,Escolher
Please select atleast one item from list.,"Por favor, selecione pelo menos um item da lista."
